"SAMPLEID","LAT","LONG","STATIONID","COLLDATE","COLLMETH","INDEX_REGION","INDEX_NAME","ni_total","pi_OET","pt_ffg_pred","pt_NonIns","pt_POET","pt_tv_toler","pt_volt_semi","SC_pi_OET","SC_pt_ffg_pred","SC_pt_NonIns","SC_pt_POET","SC_pt_tv_toler","SC_pt_volt_semi","sum_Index","Index","Index_Nar"
"19-126-01",42.008243,-71.705661,"CP-BEST-P1","8/23/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",313,28.4345047923323,26.027397260274,8.21917808219178,34.2465753424658,4.10958904109589,10.958904109589,58.0296016170046,81.3356164383562,89.9543378995434,85.6164383561644,96.6376089663761,91.324200913242,502.897804190687,83.8163006984478,"No Narrative"
"19-126-02",42.021719,-71.684199,"CP-BEST-P11","8/23/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",323,10.5263157894737,21.0526315789474,13.1578947368421,36.8421052631579,5.26315789473684,10.5263157894737,21.4822771213749,65.7894736842105,78.1954887218045,92.1052631578947,93.1419457735247,87.719298245614,438.433746704423,73.0722911174039,"No Narrative"
"19-126-03",41.998161,-71.695075,"CP-BEST-P2","8/23/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",316,31.9620253164557,21.2121212121212,4.54545454545455,34.8484848484849,9.09090909090909,7.57575757575758,65.2286230948075,66.2878787878788,98.7012987012987,87.1212121212121,81.5426997245179,63.1313131313131,462.013025561028,77.002170926838,"No Narrative"
"19-126-04",41.574557,-71.720511,"CP-BEST-P15","8/24/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",325,26.1538461538462,21.5189873417722,20.253164556962,30.379746835443,7.59493670886076,7.59493670886076,53.3751962323391,67.246835443038,61.3019891500904,75.9493670886076,86.0759493670886,63.2911392405063,407.24047652167,67.8734127536117,"No Narrative"
"19-126-05",41.579676,-71.718629,"CP-BEST-P4","8/24/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",326,43.558282208589,23.0769230769231,11.5384615384615,42.3076923076923,3.84615384615385,10.2564102564103,88.8944534869162,72.1153846153846,82.051282051282,100,97.4358974358974,85.4700854700855,525.967103059566,87.661183843261,"No Narrative"
"19-126-07",41.56443,-71.727231,"CP-BEST-P5","8/24/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",312,50,18.0327868852459,18.0327868852459,26.2295081967213,9.83606557377049,8.19672131147541,100,56.3524590163934,66.5886026541764,65.5737704918033,79.2846497764531,68.3060109289617,436.105492867788,72.684248811298,"No Narrative"
"19-126-08",41.872634,-71.408808,"LO-WORST-P1","8/24/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",300,27.6666666666667,32.6530612244898,30.6122448979592,22.4489795918367,10.2040816326531,4.08163265306122,56.4625850340136,100,36.6375121477162,56.1224489795918,78.169449598021,34.0136054421769,361.40560120152,60.2342668669199,"No Narrative"
"19-126-09",41.769629,-71.452045,"LO-WORST-P3","8/24/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",302,37.4172185430464,19.6428571428571,25,21.4285714285714,23.2142857142857,1.78571428571429,76.361670496013,61.3839285714286,50,53.5714285714286,38.7445887445887,14.8809523809524,294.942568764411,49.1570947940685,"No Narrative"
"19-126-10",41.797131,-71.479722,"LO-WORST-P8","8/24/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",321,38.6292834890966,17.2413793103448,36.2068965517241,25.8620689655172,13.7931034482759,1.72413793103448,78.8352724267277,53.8793103448276,23.3169129720854,64.6551724137931,67.2936259143156,14.367816091954,302.348110163703,50.3913516939506,"No Narrative"
"19-126-11",41.580375,-71.7214,"CP-BEST-P12","8/25/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",338,49.7041420118343,23.0769230769231,18.4615384615385,36.9230769230769,9.23076923076923,3.07692307692308,100,72.1153846153846,65.5677655677656,92.3076923076923,81.1188811188811,25.6410256410256,436.750749250749,72.7917915417915,"No Narrative"
"19-126-12",41.594501,-71.720385,"CP-BEST-P13","8/25/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",327,41.8960244648318,23.6842105263158,10.5263157894737,40.7894736842105,2.63157894736842,6.57894736842105,85.5020907445547,74.0131578947368,84.4611528822055,100,100,54.8245614035088,498.800962925006,83.1334938208343,"No Narrative"
"19-126-13",41.623888,-71.757908,"CP-BEST-P14","8/25/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",348,31.8965517241379,26.865671641791,8.95522388059701,41.7910447761194,2.98507462686567,10.4477611940299,65.0950035186488,83.955223880597,88.2018479033404,100,100,87.0646766169154,524.316751919502,87.386125319917,"No Narrative"
"19-126-14",41.374694,-71.716451,"LO-BEST-P4","8/25/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",319,25.3918495297806,25.4901960784314,7.84313725490196,39.2156862745098,5.88235294117647,5.88235294117647,51.8201010811848,79.656862745098,90.8496732026144,98.0392156862745,91.2655971479501,49.0196078431373,460.651057706259,76.7751762843765,"No Narrative"
