"SAMPLEID","LAT","LONG","STATIONID","COLLDATE","COLLMETH","INDEX_REGION","INDEX_NAME","ni_total","pi_OET","pt_ffg_pred","pt_NonIns","pt_POET","pt_tv_toler","pt_volt_semi"
"19-126-01",42.008243,-71.705661,"CP-BEST-P1","8/23/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",313,28.4345047923323,26.027397260274,8.21917808219178,34.2465753424658,4.10958904109589,10.958904109589
"19-126-02",42.021719,-71.684199,"CP-BEST-P11","8/23/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",323,10.5263157894737,21.0526315789474,13.1578947368421,36.8421052631579,5.26315789473684,10.5263157894737
"19-126-03",41.998161,-71.695075,"CP-BEST-P2","8/23/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",316,31.9620253164557,21.2121212121212,4.54545454545455,34.8484848484849,9.09090909090909,7.57575757575758
"19-126-04",41.574557,-71.720511,"CP-BEST-P15","8/24/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",325,26.1538461538462,21.5189873417722,20.253164556962,30.379746835443,7.59493670886076,7.59493670886076
"19-126-05",41.579676,-71.718629,"CP-BEST-P4","8/24/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",326,43.558282208589,23.0769230769231,11.5384615384615,42.3076923076923,3.84615384615385,10.2564102564103
"19-126-07",41.56443,-71.727231,"CP-BEST-P5","8/24/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",312,50,18.0327868852459,18.0327868852459,26.2295081967213,9.83606557377049,8.19672131147541
"19-126-08",41.872634,-71.408808,"LO-WORST-P1","8/24/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",300,27.6666666666667,32.6530612244898,30.6122448979592,22.4489795918367,10.2040816326531,4.08163265306122
"19-126-09",41.769629,-71.452045,"LO-WORST-P3","8/24/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",302,37.4172185430464,19.6428571428571,25,21.4285714285714,23.2142857142857,1.78571428571429
"19-126-10",41.797131,-71.479722,"LO-WORST-P8","8/24/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",321,38.6292834890966,17.2413793103448,36.2068965517241,25.8620689655172,13.7931034482759,1.72413793103448
"19-126-11",41.580375,-71.7214,"CP-BEST-P12","8/25/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",338,49.7041420118343,23.0769230769231,18.4615384615385,36.9230769230769,9.23076923076923,3.07692307692308
"19-126-12",41.594501,-71.720385,"CP-BEST-P13","8/25/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",327,41.8960244648318,23.6842105263158,10.5263157894737,40.7894736842105,2.63157894736842,6.57894736842105
"19-126-13",41.623888,-71.757908,"CP-BEST-P14","8/25/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",348,31.8965517241379,26.865671641791,8.95522388059701,41.7910447761194,2.98507462686567,10.4477611940299
"19-126-14",41.374694,-71.716451,"LO-BEST-P4","8/25/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",319,25.3918495297806,25.4901960784314,7.84313725490196,39.2156862745098,5.88235294117647,5.88235294117647
